2.8149, 0
2.8161, 0
2.8202, 0
2.8235, 0
2.8261, 1
2.8304, 1
2.8335, 1
2.8357, 2
2.8379, 3
2.8419, 4
2.8432, 4
2.8448, 4
2.8468, 4
2.8495, 4
2.8518, 5
2.8550, 5
2.8567, 5
2.8583, 6
2.8597, 6
2.8637, 6
2.8654, 7
2.8679, 8
2.8696, 9
2.8728, 10
2.8755, 10
2.8782, 8
2.8814, 8
2.8831, 8
2.8872, 9
2.8882, 9
2.8914, 7
2.8952, 8
2.8963, 8
2.8970, 9
2.8993, 10
2.9030, 11
2.9057, 12
2.9066, 13
2.9111, 14
2.9131, 13
2.9151, 14
2.9167, 14
2.9188, 14
2.9207, 14
2.9225, 13
2.9278, 13
2.9295, 14
2.9306, 15
2.9319, 16
2.9339, 16
2.9371, 16
2.9391, 17
2.9415, 17
2.9427, 17
2.9449, 16
2.9475, 16
2.9495, 15
2.9504, 16
2.9544, 16
2.9555, 16
2.9575, 16
2.9602, 16
2.9622, 15
2.9636, 16
2.9666, 17
2.9679, 17
2.9705, 16
2.9738, 16
2.9755, 17
2.9773, 16
2.9786, 16
2.9819, 17
2.9851, 18
2.9863, 19
2.9889, 20
2.9936, 21
2.9969, 22
3.0010, 23
3.0039, 24
3.0072, 25
3.0089, 26
3.0115, 26
3.0126, 26
3.0141, 26
3.0168, 27
3.0199, 27
3.0209, 28
3.0222, 28
3.0270, 29
3.0285, 30
3.0318, 30
3.0351, 31
3.0384, 31
3.0428, 32
3.0459, 32
3.0494, 33
3.0510, 33
3.0522, 34
3.0535, 34
3.0547, 34
3.0564, 35
3.0581, 35
3.0605, 36
3.0634, 36
3.0663, 37
3.0673, 37
3.0695, 37
3.0724, 38
3.0733, 38
3.0759, 38
3.0779, 39
3.0801, 40
3.0827, 41
3.0840, 40
3.0861, 41
3.0870, 41
3.0887, 42
3.0910, 42
3.0934, 43
3.0961, 44
3.0983, 45
3.1008, 43
3.1045, 42
3.1052, 44
3.1084, 44
3.1102, 45
3.1123, 45
3.1146, 46
3.1173, 47
3.1209, 48
3.1235, 48
3.1258, 49
3.1281, 49
3.1313, 50
3.1335, 50
