2.5102, 0
2.5125, 0
2.5164, 0
2.5177, 0
2.5215, 0
2.5245, 0
2.5292, 1
2.5329, 2
2.5339, 3
2.5380, 3
2.5397, 2
2.5462, 3
2.5492, 2
2.5539, 3
2.5554, 4
2.5586, 5
2.5606, 6
2.5615, 7
2.5624, 8
2.5673, 9
2.5683, 10
2.5699, 11
2.5719, 12
2.5747, 14
2.5765, 15
2.5778, 15
2.5824, 15
2.5848, 16
2.5871, 17
2.5898, 17
2.5926, 17
2.5962, 17
2.5986, 17
2.6004, 18
2.6042, 18
2.6060, 18
2.6089, 17
2.6114, 16
2.6139, 16
2.6149, 15
2.6194, 14
2.6220, 15
2.6228, 16
2.6254, 16
2.6274, 17
2.6285, 17
2.6302, 17
2.6321, 17
2.6356, 17
2.6377, 18
2.6389, 17
2.6432, 18
2.6445, 19
2.6470, 19
2.6492, 20
2.6521, 19
2.6551, 20
2.6572, 21
2.6616, 21
2.6621, 21
2.6644, 22
2.6662, 21
2.6706, 22
2.6725, 22
2.6738, 22
2.6763, 23
2.6786, 24
2.6806, 24
2.6820, 25
2.6843, 25
2.6864, 25
2.6890, 26
2.6918, 26
2.6952, 27
2.6976, 27
2.7001, 27
2.7021, 28
2.7056, 28
2.7088, 28
2.7110, 29
2.7124, 29
2.7147, 30
2.7174, 30
2.7228, 30
2.7238, 30
2.7259, 31
2.7290, 31
2.7306, 31
2.7321, 32
2.7355, 32
2.7389, 32
2.7404, 33
2.7440, 33
2.7470, 34
2.7483, 34
2.7518, 35
2.7537, 35
2.7569, 36
2.7576, 36
2.7599, 36
2.7639, 36
2.7658, 36
2.7673, 37
2.7691, 37
2.7709, 38
2.7721, 38
2.7783, 38
2.7802, 38
2.7822, 38
2.7850, 40
2.7875, 40
2.7901, 40
2.7958, 41
2.7985, 41
2.8012, 41
2.8027, 41
2.8063, 42
2.8081, 42
2.8105, 42
2.8133, 42
2.8152, 42
2.8169, 42
2.8193, 43
2.8217, 43
2.8243, 43
2.8272, 45
2.8296, 45
2.8323, 45
2.8346, 45
2.8372, 45
2.8396, 45
2.8417, 45
2.8441, 45
2.8463, 44
2.8486, 42
2.8509, 42
2.8527, 42
2.8550, 43
2.8573, 43
2.8603, 43
2.8631, 44
2.8651, 44
2.8673, 45
2.8700, 45
2.8733, 47
2.8751, 47
2.8767, 48
2.8790, 48
2.8812, 49
2.8836, 50
2.8862, 50
2.8890, 51
2.8913, 51
2.8952, 52
2.8971, 53
2.8998, 53
2.9007, 54
2.9029, 55
2.9073, 55
2.9084, 56
2.9100, 56
2.9131, 57
2.9154, 59
2.9183, 60
2.9257, 60
2.9275, 61
2.9296, 62
2.9322, 62
2.9346, 61
2.9369, 62
2.9395, 63
2.9425, 63
2.9440, 63
2.9463, 63
2.9484, 63
2.9515, 63
2.9536, 63
2.9554, 63
2.9562, 63
2.9569, 63
